Region,Subject,Session,Neuron,State,FR
Somatosensory,17,17.1,99,Still,8.44511628
Somatosensory,17,17.1,99,Moving,10.48777615
Somatosensory,17,17.1,100,SWD,9.753776054
Somatosensory,17,17.1,100,Still,11.32069727
Somatosensory,17,17.1,100,Moving,11.88459797
Somatosensory,17,17.1,101,SWD,4.207511239
Somatosensory,17,17.1,101,Still,4.103923364
Somatosensory,17,17.1,101,Moving,5.355036604
Somatosensory,17,17.1,102,SWD,23.02489846
Somatosensory,17,17.1,102,Still,20.84192546
Somatosensory,17,17.1,102,Moving,27.64114619
Somatosensory,17,17.1,103,SWD,7.088741762
Somatosensory,17,17.1,103,Still,7.792799989
Somatosensory,17,17.1,103,Moving,7.359027998
Somatosensory,17,17.1,104,SWD,2.976855778
Somatosensory,17,17.1,104,Still,2.2817072
Somatosensory,17,17.1,104,Moving,1.297285819
Somatosensory,17,17.1,105,SWD,1.584053144
Somatosensory,17,17.1,105,Still,0.47558897
Somatosensory,17,17.1,105,Moving,0.218979192
Somatosensory,17,17.1,106,SWD,0.8356815801
Somatosensory,17,17.1,106,Still,0.1518805099
Somatosensory,17,17.1,106,Moving,0.009953599636
Somatosensory,17,17.1,107,SWD,1.995657505
Somatosensory,17,17.1,107,Still,0.6558158424
Somatosensory,17,17.1,107,Moving,2.461856977
Somatosensory,17,17.1,108,SWD,10.49799
Somatosensory,17,17.1,108,Still,6.070670981
Somatosensory,17,17.1,108,Moving,6.632415224
Somatosensory,17,17.1,109,SWD,3.130687711
Somatosensory,17,17.1,109,Still,0.353804598
Somatosensory,17,17.1,109,Moving,0.06303946436
Somatosensory,17,17.1,110,SWD,7.52944946
Somatosensory,17,17.1,110,Still,0.4608908562
Somatosensory,17,17.1,110,Moving,0.08626453018
Somatosensory,17,17.1,111,SWD,0.9895135127
Somatosensory,17,17.1,111,Still,0.9312304998
Somatosensory,17,17.1,111,Moving,3.845407326
Somatosensory,17,17.1,112,SWD,3.783434019
Somatosensory,17,17.1,112,Still,0.490637039
Somatosensory,17,17.1,112,Moving,0.2023898593
Somatosensory,17,17.1,113,SWD,1.530004087
Somatosensory,17,17.1,113,Still,2.599116468
Somatosensory,17,17.1,113,Moving,7.033877076
Somatosensory,17,17.1,114,SWD,1.987342265
Somatosensory,17,17.1,114,Still,0.1021868869
Somatosensory,17,17.1,114,Moving,0.01658933273
Somatosensory,17,17.1,115,SWD,1.783618895
Somatosensory,17,17.1,115,Still,0.5676271592
Somatosensory,17,17.1,115,Moving,1.423364748
Somatosensory,17,17.1,116,SWD,2.340739948
Somatosensory,17,17.1,116,Still,1.469461431
Somatosensory,17,17.1,116,Moving,1.018585029
Somatosensory,17,17.1,117,SWD,0.6194853504
Somatosensory,17,17.1,117,Still,0.1350826655
Somatosensory,17,17.1,117,Moving,0.03317866545
Somatosensory,17,17.1,118,SWD,2.428049964
Somatosensory,17,17.1,118,Still,1.271036894
Somatosensory,17,17.1,118,Moving,2.392181779
Somatosensory,17,17.1,119,SWD,1.214024982
Somatosensory,17,17.1,119,Still,0.1210844618
Somatosensory,17,17.1,119,Moving,0.02322506582
Somatosensory,17,17.1,120,SWD,1.808564614
Somatosensory,17,17.1,120,Still,0.9494281646
Somatosensory,17,17.1,120,Moving,2.83345803
Somatosensory,17,17.1,121,SWD,1.205709742
Somatosensory,17,17.1,121,Still,0.08293935681
Somatosensory,17,17.1,121,Moving,0.009953599636
Somatosensory,17,17.1,122,SWD,0.7650020435
Somatosensory,17,17.1,122,Still,0.1420817674
Somatosensory,17,17.1,122,Moving,0.1128074625
Somatosensory,17,17.1,123,SWD,0.7816325227
Somatosensory,17,17.1,123,Still,0.3590539244
Somatosensory,17,17.1,123,Moving,0.9090954335
Somatosensory,17,17.1,124,SWD,1.105926867
Somatosensory,17,17.1,124,Still,0.1245840128
Somatosensory,17,17.1,124,Moving,0.01327146618
Somatosensory,17,17.1,125,SWD,1.633944582
Somatosensory,17,17.1,125,Still,0.1655287585
Somatosensory,17,17.1,125,Moving,0.02986079891
Somatosensory,17,17.1,126,SWD,1.754515556
Somatosensory,17,17.1,126,Still,0.2218715283
Somatosensory,17,17.1,126,Moving,0.2654293236
Somatosensory,17,17.1,127,SWD,0.09562525543
Somatosensory,17,17.1,127,Still,0.1753275011
Somatosensory,17,17.1,127,Moving,0.109489596
Somatosensory,17,17.1,128,SWD,0.3908162613
Somatosensory,17,17.1,128,Still,0.7604524149
Somatosensory,17,17.1,128,Moving,0.9986778302
Somatosensory,17,17.1,129,SWD,0.07899477623
Somatosensory,17,17.1,129,Still,0.2138225612
Somatosensory,17,17.1,129,Moving,0.036496532
Somatosensory,17,17.1,130,SWD,1.093454008
Somatosensory,17,17.1,130,Still,1.671035564
Somatosensory,17,17.1,130,Moving,1.818190867
Somatosensory,17,17.1,131,SWD,3.055850554
Somatosensory,17,17.1,131,Still,4.817831752
Somatosensory,17,17.1,131,Moving,4.127425983
Somatosensory,17,17.1,132,SWD,5.488058138
Somatosensory,17,17.1,132,Still,2.215215732
Somatosensory,17,17.1,132,Moving,2.903133227
Somatosensory,17,17.1,133,SWD,0.1372014534
Somatosensory,17,17.1,133,Still,0.273664882
Somatosensory,17,17.1,133,Moving,0.03317866545
Somatosensory,17,17.1,134,SWD,0.2245114693
Somatosensory,17,17.1,134,Still,0.8762875504
Somatosensory,17,17.1,134,Moving,0.2986079891
Somatosensory,17,17.1,135,SWD,12.15272268
Somatosensory,17,17.1,135,Still,7.579677338
Somatosensory,17,17.1,135,Moving,3.185151884
Somatosensory,17,17.1,136,SWD,0.4074467405
Somatosensory,17,17.1,136,Still,0.4577412604
Somatosensory,17,17.1,136,Moving,0.009953599636
Somatosensory,17,17.1,137,SWD,0.6111701108
Somatosensory,17,17.1,137,Still,1.189847313
Somatosensory,17,17.1,137,Moving,0.1957541262
Somatosensory,17,17.1,138,SWD,11.37524778
Somatosensory,17,17.1,138,Still,15.97405013
Somatosensory,17,17.1,138,Moving,24.85745616
Somatosensory,17,17.1,139,SWD,1.05187781
Somatosensory,17,17.1,139,Still,2.555722037
Somatosensory,17,17.1,139,Moving,1.675522605
Somatosensory,17,17.1,140,SWD,0.4698110376
Somatosensory,17,17.1,140,Still,1.033767342
Somatosensory,17,17.1,140,Moving,0.1658933273
Somatosensory,17,17.1,141,SWD,6.057652051
Somatosensory,17,17.1,141,Still,3.725271954
Somatosensory,17,17.1,141,Moving,6.164596041
Somatosensory,17,17.1,142,SWD,17.32064409
Somatosensory,17,17.1,142,Still,20.68024621
Somatosensory,17,17.1,142,Moving,24.50244444
Somatosensory,17,17.1,143,SWD,11.38772064
Somatosensory,17,17.1,143,Still,9.844236738
Somatosensory,17,17.1,143,Moving,10.91578093
Somatosensory,17,17.1,144,SWD,4.236614578
Somatosensory,17,17.1,144,Still,2.760095811
Somatosensory,17,17.1,144,Moving,0.8958239673
Somatosensory,17,17.1,145,SWD,0.3658705425
Somatosensory,17,17.1,145,Still,0.5966734319
Somatosensory,17,17.1,145,Moving,0.1161253291
Somatosensory,17,17.1,146,SWD,1.974869406
Somatosensory,17,17.1,146,Still,1.547851372
Somatosensory,17,17.1,146,Moving,0.3151973218
Somatosensory,17,17.1,147,SWD,2.536148079
Somatosensory,17,17.1,147,Still,1.457562958
Somatosensory,17,17.1,147,Moving,0.5142693145
Somatosensory,17,17.1,148,SWD,2.078809901
Somatosensory,17,17.1,148,Still,4.04933037
Somatosensory,17,17.1,148,Moving,3.755824929
Somatosensory,17,17.1,149,SWD,3.538134451
Somatosensory,17,17.1,149,Still,5.895693435
Somatosensory,17,17.1,149,Moving,4.455894771
Somatosensory,17,17.1,150,SWD,3.675335904
Somatosensory,17,17.1,150,Still,4.328244578
Somatosensory,17,17.1,150,Moving,2.627750304
Somatosensory,17,17.1,151,SWD,17.34558981
Somatosensory,17,17.1,151,Still,22.03912183
Somatosensory,17,17.1,151,Moving,54.75143373
Somatosensory,17,17.1,152,SWD,3.895689754
Somatosensory,17,17.1,152,Still,1.320380562
Somatosensory,17,17.1,152,Moving,1.370278883
Somatosensory,17,17.1,153,SWD,2.918649101
Somatosensory,17,17.1,153,Still,0.4836379372
Somatosensory,17,17.1,153,Moving,0.7697450385
Somatosensory,17,17.1,154,SWD,2.989328637
Somatosensory,17,17.1,154,Still,11.32314696
Somatosensory,17,17.1,154,Moving,15.66033009
Somatosensory,17,17.1,155,SWD,2.947752439
Somatosensory,17,17.1,155,Still,1.879608799
Somatosensory,17,17.1,155,Moving,0.620441044
Somatosensory,17,17.2,156,SWD,0.3236595102
Somatosensory,17,17.2,156,Still,0.6757009706
Somatosensory,17,17.2,156,Moving,0.2438863121
Somatosensory,17,17.2,157,SWD,3.441579458
Somatosensory,17,17.2,157,Still,3.453454619
Somatosensory,17,17.2,157,Moving,1.495836048
Somatosensory,17,17.2,158,SWD,11.00442335
Somatosensory,17,17.2,158,Still,11.64450319
Somatosensory,17,17.2,158,Moving,28.47237202
Somatosensory,17,17.2,159,SWD,21.82543964
Somatosensory,17,17.2,159,Still,30.11750663
Somatosensory,17,17.2,159,Moving,18.64917333
Somatosensory,17,17.2,160,SWD,4.488078541
Somatosensory,17,17.2,160,Still,5.593558717
Somatosensory,17,17.2,160,Moving,9.877395641
Somatosensory,17,17.2,161,SWD,3.16107455
Somatosensory,17,17.2,161,Still,4.250228289
Somatosensory,17,17.2,161,Moving,4.343886204
Somatosensory,17,17.2,162,SWD,8.87905923
Somatosensory,17,17.2,162,Still,7.882024917
Somatosensory,17,17.2,162,Moving,2.026966239
Somatosensory,17,17.2,163,SWD,11.87830402
Somatosensory,17,17.2,163,Still,13.43445735
Somatosensory,17,17.2,163,Moving,15.09114302
Somatosensory,17,17.2,164,SWD,7.454957385
Somatosensory,17,17.2,164,Still,6.567136964
Somatosensory,17,17.2,164,Moving,8.267745981
Somatosensory,17,17.2,165,SWD,5.72877333
Somatosensory,17,17.2,165,Still,3.209387431
Somatosensory,17,17.2,165,Moving,2.070323805
Somatosensory,17,17.2,166,SWD,5.200129464
Somatosensory,17,17.2,166,Still,8.069207154
Somatosensory,17,17.2,166,Moving,15.47865128
Somatosensory,17,17.2,167,SWD,3.215017801
Somatosensory,17,17.2,167,Still,5.717706279
Somatosensory,17,17.2,167,Moving,6.316655484
Somatosensory,17,17.2,168,SWD,3.117919948
Somatosensory,17,17.2,168,Still,2.398392524
Somatosensory,17,17.2,168,Moving,2.352147988
Somatosensory,17,17.2,169,SWD,2.23325062
Somatosensory,17,17.2,169,Still,2.238499689
Somatosensory,17,17.2,169,Moving,2.476800992
Somatosensory,17,17.2,170,SWD,3.517100011
Somatosensory,17,17.2,170,Still,2.51485293
Somatosensory,17,17.2,170,Moving,2.449702513
Somatosensory,17,17.2,171,SWD,1.316215341
Somatosensory,17,17.2,171,Still,1.601618853
Somatosensory,17,17.2,171,Moving,1.447058785
Somatosensory,17,17.2,172,SWD,1.650663502
Somatosensory,17,17.2,172,Still,2.071688414
Somatosensory,17,17.2,172,Moving,1.287177758
Somatosensory,17,17.2,173,SWD,8.684863524
Somatosensory,17,17.2,173,Still,3.754791116
Somatosensory,17,17.2,173,Moving,1.466027721
Somatosensory,17,17.2,174,SWD,1.672240803
Somatosensory,17,17.2,174,Still,1.915254799
Somatosensory,17,17.2,174,Moving,0.8454725487
Somatosensory,17,17.2,175,SWD,0.4854892653
Somatosensory,17,17.2,175,Still,0.4008851606
Somatosensory,17,17.2,175,Moving,0.06774619781
Somatosensory,17,17.2,176,SWD,1.801704607
Somatosensory,17,17.2,176,Still,1.305279008
Somatosensory,17,17.2,176,Moving,0.4417052097
Somatosensory,17,17.2,177,SWD,0.8630920272
Somatosensory,17,17.2,177,Still,1.189587317
Somatosensory,17,17.2,177,Moving,0.775016503
Somatosensory,17,17.2,178,SWD,0.5825871184
Somatosensory,17,17.2,178,Still,0.4566170381
Somatosensory,17,17.2,178,Moving,0.2520158559
Somatosensory,17,17.2,179,SWD,1.510411048
Somatosensory,17,17.2,179,Still,1.044300078
Somatosensory,17,17.2,179,Moving,0.3360211411
Somatosensory,17,17.2,180,SWD,1.175962887
Somatosensory,17,17.2,180,Still,0.6353434041
Somatosensory,17,17.2,180,Moving,0.1625908747
Somatosensory,17,17.2,181,SWD,14.3596936
Somatosensory,17,17.2,181,Still,12.45972603
Somatosensory,17,17.2,181,Moving,10.88545906
Somatosensory,17,17.2,182,SWD,0.5825871184
Somatosensory,17,17.2,182,Still,0.7268205548
Somatosensory,17,17.2,182,Moving,0.2574355517
Caudoputamen,17,17.2,183,SWD,2.168518718
Caudoputamen,17,17.2,183,Still,0.1533587527
Caudoputamen,17,17.2,183,Moving,0.03251817495
Caudoputamen,17,17.2,184,SWD,3.322904305
Caudoputamen,17,17.2,184,Still,0.362449383
Caudoputamen,17,17.2,184,Moving,0.7452081759
Caudoputamen,17,17.2,185,SWD,5.275650016
Caudoputamen,17,17.2,185,Still,1.337180703
Caudoputamen,17,17.2,185,Moving,1.731592816
Caudoputamen,17,17.2,186,SWD,6.710540511
Caudoputamen,17,17.2,186,Still,3.046804092
Caudoputamen,17,17.2,186,Moving,3.330403084
Caudoputamen,17,17.2,187,SWD,3.452368109
Caudoputamen,17,17.2,187,Still,0.7118306015
